,start_year
9417,1250
9418,1250
9419,1250
9420,1250
9421,1250
9422,1250
9423,1250
9424,1260
9425,1270
9426,1270
9427,1280
9428,1280
9429,1290
9430,1290
9431,1300
9432,1300
9433,1300
9434,1300
9435,1300
9436,1310
9437,1310
9438,1310
9439,1310
9440,1320
9441,1320
9442,1320
9443,1320
9444,1330
9445,1330
9446,1330
9447,1340
9448,1350
9449,1350
9450,1350
9451,1350
9452,1350
9453,1350
9454,1350
9455,1350
9456,1350
9457,1350
9458,1350
9459,1350
9460,1370
9461,1390
9462,1396
9463,1400
9464,1400
9465,1400
9466,1400
9467,1410
9468,1420
9469,1420
9470,1430
9471,1440
9472,1440
9473,1450
9474,1450
9475,1450
9476,1450
9477,1450
9478,1450
9479,1450
9480,1450
9481,1450
9482,1450
9483,1450
9484,1450
9485,1454
9486,1459
9487,1460
9488,1470
9489,1480
9490,1490
9491,1500
9492,1500
9493,1500
9494,1500
9495,1500
9496,1500
9497,1500
9498,1510
9499,1510
9500,1510
9501,1510
9502,1540
9503,1540
9504,1540
9505,1550
9506,1550
9507,1550
9508,1550
9509,1550
9510,1550
9511,1550
9512,1550
9513,1550
9514,1550
9515,1550
9516,1550
9517,1550
9518,1550
9519,1550
9520,1550
9521,1550
9522,1550
9523,1550
9524,1560
9525,1560
9526,1580
9527,1580
9528,1580
9529,1590
9530,1600
9531,1600
9532,1600
9533,1610
9534,1610
9535,1610
9536,1623
9537,1628
9538,1640
9539,1645
9540,1650
9541,1650
9542,1650
9543,1650
9544,1650
9545,1650
9546,1650
9547,1650
9548,1650
9549,1650
9550,1650
9551,1650
9552,1650
9553,1650
9554,1650
9555,1650
9556,1662
9557,1670
9558,1670
9559,1680
9560,1680
9561,1690
9562,1695
9563,1700
9564,1700
9565,1700
9566,1700
9567,1700
9568,1700
9569,1700
9570,1700
9571,1700
9572,1710
9573,1720
9574,1730
9575,1750
9576,1750
9577,1750
9578,1750
9579,1750
9580,1750
9581,1750
9582,1750
9583,1750
9584,1750
9585,1750
9586,1770
9587,1770
9588,1770
9589,1780
9590,1790
9591,1790
9592,1800
9593,1800
9594,1800
9595,1800
9596,1800
9597,1800
9598,1800
9599,1800
9600,1800
9601,1800
9602,1810
9603,1810
9604,1810
9605,1820
9606,1820
9607,1830
9608,1830
9609,1830
9610,1830
9611,1850
9612,1850
9613,1850
9614,1850
9615,1850
9616,1850
9617,1850
9618,1850
9619,1850
9620,1850
9621,1860
9622,1860
9623,1860
9624,1870
9625,1870
9626,1880
9627,1890
9628,1890
9629,1890
9630,1890
9631,1890
9632,1900
9633,1900
9634,1900
9635,1900
9636,1900
9637,1900
9638,1910
9639,1920
9640,1920
9641,1920
9642,1920
9643,1940
9644,1940
9645,1950
9646,1950
9647,1950
9648,1950
9649,1950
9650,1950
9651,1950
9652,1980
9653,1980
9654,1980
9655,1990
9656,1990
9657,2000
9658,2000
9659,2000
9660,2000
9661,2000
9662,2000
9663,2000
9664,2000
9665,2000
9666,2000
9667,2000
9668,2000
9669,2000
9670,2010
9671,2010
9672,2010
9673,2020
9674,2020
9675,2030
9676,2040
9677,2040
9678,2040
9679,2040
9680,2040
9681,2050
9682,2050
9683,2050
9684,2050
9685,2050
9686,2050
9687,2050
9688,2050
9689,2050
9690,2050
9691,2050
9692,2050
9693,2050
9694,2050
9695,2050
9696,2050
9697,2050
9698,2050
9699,2050
9700,2050
9701,2050
9702,2050
9703,2050
9704,2050
9705,2050
9706,2050
9707,2050
9708,2050
9709,2050
9710,2050
9711,2050
9712,2050
9713,2050
9714,2080
9715,2080
9716,2080
9717,2090
9718,2095
9719,2100
9720,2100
9721,2100
9722,2100
9723,2100
9724,2100
9725,2100
9726,2110
9727,2110
9728,2110
9729,2120
9730,2120
9731,2130
9732,2135
9733,2140
9734,2150
9735,2150
9736,2150
9737,2150
9738,2150
9739,2150
9740,2150
9741,2150
9742,2150
9743,2160
9744,2160
9745,2190
9746,2200
9747,2200
9748,2200
9749,2200
9750,2200
9751,2210
9752,2210
9753,2220
9754,2220
9755,2220
9756,2220
9757,2230
9758,2230
9759,2238
9760,2240
9761,2240
9762,2240
9763,2250
9764,2250
9765,2250
9766,2250
9767,2250
9768,2250
9769,2250
9770,2250
9771,2250
9772,2250
9773,2250
9774,2250
9775,2250
9776,2260
9777,2260
9778,2270
9779,2270
9780,2280
9781,2300
9782,2300
9783,2300
9784,2300
9785,2300
9786,2300
9787,2300
9788,2310
9789,2310
9790,2320
9791,2330
9792,2330
9793,2340
9794,2350
9795,2350
9796,2350
9797,2350
9798,2350
9799,2360
9800,2370
9801,2370
9802,2370
9803,2380
9804,2400
9805,2400
9806,2400
9807,2420
9808,2420
9809,2430
9810,2440
9811,2440
9812,2440
9813,2450
9814,2450
9815,2450
9816,2450
9817,2450
9818,2450
9819,2450
9820,2450
9821,2450
9822,2460
9823,2460
9824,2460
9825,2470
9826,2480
9827,2490
9828,2490
9829,2500
9830,2500
9831,2500
9832,2500
9833,2500
9834,2530
9835,2530
9836,2530
9837,2540
9838,2540
9839,2550
9840,2550
9841,2550
9842,2550
9843,2550
9844,2550
9845,2550
9846,2550
9847,2550
9848,2550
9849,2550
9850,2550
9851,2550
9852,2550
9853,2550
9854,2550
9855,2560
9856,2580
9857,2580
9858,2580
9859,2600
9860,2600
9861,2600
9862,2610
9863,2620
9864,2640
9865,2640
9866,2650
9867,2650
9868,2650
9869,2650
9870,2650
9871,2650
9872,2650
9873,2650
9874,2650
9875,2660
9876,2660
9877,2670
9878,2670
9879,2680
9880,2690
9881,2700
9882,2700
9883,2700
9884,2700
9885,2700
9886,2700
9887,2710
9888,2720
9889,2750
9890,2750
9891,2750
9892,2750
9893,2750
9894,2750
9895,2750
9896,2750
9897,2750
9898,2750
9899,2750
9900,2750
9901,2770
9902,2780
9903,2780
9904,2790
9905,2800
9906,2800
9907,2800
9908,2800
9909,2800
9910,2800
9911,2800
9912,2830
9913,2830
9914,2850
9915,2850
9916,2850
9917,2850
9918,2850
9919,2850
9920,2850
9921,2850
9922,2850
9923,2850
9924,2850
9925,2860
9926,2890
9927,2900
9928,2900
9929,2900
9930,2900
9931,2900
9932,2900
9933,2900
9934,2900
9935,2910
9936,2920
9937,2920
9938,2950
9939,2950
9940,2950
9941,2950
9942,2950
9943,2950
9944,2950
9945,2950
9946,2958
9947,2970
9948,2980
9949,2990
9950,2990
9951,2990
9952,3000
9953,3000
9954,3000
9955,3000
9956,3000
9957,3020
9958,3020
9959,3030
9960,3030
9961,3050
9962,3050
9963,3050
9964,3050
9965,3050
9966,3050
9967,3050
9968,3050
9969,3050
9970,3050
9971,3050
9972,3050
9973,3050
9974,3050
9975,3050
9976,3050
9977,3050
9978,3050
9979,3050
9980,3050
9981,3050
9982,3050
9983,3050
9984,3050
9985,3050
9986,3050
9987,3070
9988,3070
9989,3090
9990,3090
9991,3100
9992,3100
9993,3110
9994,3120
9995,3120
9996,3150
9997,3150
9998,3150
9999,3150
10000,3150
10001,3170
10002,3170
10003,3180
10004,3180
10005,3180
10006,3190
10007,3190
10008,3195
10009,3200
10010,3200
10011,3200
10012,3200
10013,3200
10014,3200
10015,3201
10016,3250
10017,3250
10018,3250
10019,3250
10020,3250
10021,3250
10022,3250
10023,3250
10024,3250
10025,3250
10026,3250
10027,3250
10028,3250
10029,3270
10030,3280
10031,3280
10032,3290
10033,3300
10034,3310
10035,3350
10036,3350
10037,3350
10038,3350
10039,3350
10040,3350
10041,3350
10042,3370
10043,3370
10044,3390
10045,3390
10046,3400
10047,3400
10048,3420
10049,3430
10050,3440
10051,3450
10052,3450
10053,3450
10054,3450
10055,3450
10056,3450
10057,3450
10058,3450
10059,3450
10060,3480
10061,3480
10062,3490
10063,3490
10064,3490
10065,3500
10066,3500
10067,3500
10068,3500
10069,3500
10070,3500
10071,3500
10072,3500
10073,3500
10074,3500
10075,3510
10076,3510
10077,3510
10078,3510
10079,3518
10080,3540
10081,3540
10082,3541
10083,3550
10084,3550
10085,3550
10086,3550
10087,3550
10088,3550
10089,3550
10090,3550
10091,3550
10092,3550
10093,3550
10094,3550
10095,3550
10096,3550
10097,3550
10098,3550
10099,3550
10100,3550
10101,3550
10102,3550
10103,3580
10104,3580
10105,3580
10106,3580
10107,3580
10108,3600
10109,3600
10110,3600
10111,3610
10112,3640
10113,3650
10114,3650
10115,3650
10116,3650
10117,3650
10118,3650
10119,3650
10120,3660
10121,3670
10122,3680
10123,3690
10124,3690
10125,3700
10126,3700
10127,3700
10128,3700
10129,3720
10130,3720
10131,3730
10132,3730
10133,3740
10134,3740
10135,3750
10136,3750
10137,3750
10138,3750
10139,3750
10140,3750
10141,3750
10142,3750
10143,3750
10144,3780
10145,3790
10146,3790
